id,bom_id/id,product_id,product_qty_formula,product_uom
mrp.template_single_door_flat_line37,mrp.template_single_door_flat,[SP01134],"(line.T.name=='42(F42)') and (round((line.W+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_single_door_flat_line38,mrp.template_single_door_flat,[SP01300],"(line.T.name=='50(F50)') and (round((line.W+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_single_door_flat_line39,mrp.template_single_door_flat,[SP01134],"(line.T.name=='42(F100)') and (round((line.W+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_single_door_flat_line40,mrp.template_single_door_flat,[SP01300],"(line.T.name=='50(F100)') and (round((line.W+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_single_door_flat_line41,mrp.template_single_door_flat,[SP02114],(line.W <= 930) and 1.0 or 0.0,pcs
mrp.template_single_door_flat_line42,mrp.template_single_door_flat,[SP02122],(line.W > 930 and line.W <= 1085) and 1.0 or 0.0,pcs
mrp.template_single_door_flat_line43,mrp.template_single_door_flat,[SP02116],(line.W > 1085 and line.W <= 1230) and 1.0 or 0.0,pcs
mrp.template_single_door_flat_line44,mrp.template_single_door_flat,[SP02071],(line.mat_window_choices.code == 'None') and 0 or 0.0,pcs
mrp.template_single_door_flat_line45,mrp.template_single_door_flat,[SP02071],(line.mat_window_choices.code == 'Single') and 1 or 0.0,pcs
mrp.template_single_door_flat_line46,mrp.template_single_door_flat,[SP02071],(line.mat_window_choices.code == 'Double') and 2 or 0.0,pcs
mrp.template_single_door_flat_line47,mrp.template_single_door_flat,[SP03032],(1) or 0.0,pcs
mrp.template_single_door_flat_line48,mrp.template_single_door_flat,[SP02197],(1) or 0.0,set
mrp.template_single_door_flat_line49,mrp.template_single_door_flat,[SP02195],(2) or 0.0,set
mrp.template_single_door_flat_line50,mrp.template_single_door_flat,[SP02196],(2) or 0.0,set
mrp.template_single_door_flat_line51,mrp.template_single_door_flat,[SP03173],(2) or 0.0,pcs
mrp.template_single_door_flat_line52,mrp.template_single_door_flat,[SP03177],(1) or 0.0,pcs
mrp.template_single_door_flat_line53,mrp.template_single_door_flat,[SP03178],(1) or 0.0,pcs
mrp.template_single_door_flat_line54,mrp.template_single_door_flat,[SP02147],(1) or 0.0,set
mrp.template_single_door_flat_line55,mrp.template_single_door_flat,[SP02148],(1) or 0.0,pcs
mrp.template_single_door_flat_line56,mrp.template_single_door_flat,[SP03007],(line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (line.L/1000/200*2) or 0.0,roll
mrp.template_single_door_flat_line57,mrp.template_single_door_flat,[SP03006],(line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (line.L/1000/200*2) or 0.0,roll
mrp.template_single_door_flat_line58,mrp.template_single_door_flat,[SP03006],(line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (line.L/1000/200*2) or 0.0,roll
mrp.template_single_door_flat_line59,mrp.template_single_door_flat,[SP03007],(line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (line.L/1000/200) or 0.0,roll
mrp.template_single_door_flat_line60,mrp.template_single_door_flat,[SP03006],(line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (line.L/1000/200) or 0.0,roll
mrp.template_single_door_flat_line61,mrp.template_single_door_flat,[SP03007],(line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='AW') and (line.L/1000/200) or 0.0,roll
mrp.template_single_door_flat_line62,mrp.template_single_door_flat,[SP03006],(line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='AW') and (line.L/1000/200) or 0.0,roll
mrp.template_single_door_flat_line63,mrp.template_single_door_flat,[SP03007],(line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='GI') and (line.L/1000/200) or 0.0,roll
